Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2023.11.24_23.02.44	-46.471279	-23.60566	TIM	71595	1	31139	5G	-98	-13	4.0	-	-	HANDOVER_DATA_5G5G	724-03-31139-71595-1-3150-456:724-03-31139-71595-1-634080-456	D
2023.11.24_23.03.04	-46.472773	-23.608853	TIM	71595	3	31139	5G	-97	-12	8.0	-	-	HANDOVER_DATA_5G5G	724-03-31139-71595-1-634080-456:724-03-31139-71595-3-3150-472	D
2023.11.24_23.03.08	-46.473223	-23.60941	TIM	71595	3	31139	5G	-88	-11	11.0	-	-	CELL_RESELECTION_5G5G	724-03-31139-71595-3-3150-472:724-03-31139-71595-3-634080-472	I
2023.11.24_23.03.12	-46.473832	-23.609823	TIM	71595	3	31139	4G	-103	-10	4.0	-	-71	IRAT_CELL_RESELECTION_5G4G	724-03-31139-71595-3-634080-472:724-03-31139-71595-3-3150-472	I
2023.11.24_23.03.24	-46.475209	-23.611028	TIM	71595	15	31139	4G	-86	-15	4.0	-	-53	CELL_RESELECTION_4G4G	724-03-31139-71595-3-3150-472:724-03-31139-71595-15-9410-472	D
2023.11.24_23.03.30	-46.475654	-23.611575	TIM	71595	15	31139	5G	-100	-14	0.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-03-31139-71595-15-9410-472:724-03-31139-71595-15-634080-472	I
2023.11.24_23.03.32	-46.475749	-23.611656	TIM	72487	217	31139	4G	-84	-13	-2.0	-	-51	IRAT_CELL_RESELECTION_5G4G	724-03-31139-71595-15-634080-472:724-03-31139-72487-217-1276-59	D
2023.11.24_23.03.40	-46.476727	-23.612076	TIM	72487	217	31139	5G	-92	-15	1.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31139-72487-217-1276-59:724-03-31139-72487-217-634080-59	D
2023.11.24_23.03.58	-46.477347	-23.61221	TIM	70323	2	31139	5G	-92	-15	1.0	-	-	HANDOVER_DATA_5G5G	724-03-31139-72487-217-634080-59:724-03-31139-70323-2-3150-467	D
2023.11.24_23.04.02	-46.477347	-23.61221	TIM	70323	2	31139	5G	-91	-13	1.0	-	-	HANDOVER_DATA_5G5G	724-03-31139-70323-2-3150-467:724-03-31139-70323-2-634080-467	D
2023.11.24_23.04.25	-46.47739	-23.611808	TIM	70323	2	31139	4G	-105	-17	-5.0	-	-67	IRAT_HANDOVER_DATA_5G4G	724-03-31139-70323-2-634080-467:724-03-31139-70323-2-3150-467	D
2023.11.24_23.04.29	-46.477451	-23.611592	TIM	71598	222	31139	4G	-87	-16	-1.0	-	-51	HANDOVER_DATA_4G4G	724-03-31139-70323-2-3150-467:724-03-31139-71598-222-1276-144	D
2023.11.24_23.04.31	-46.477538	-23.61168	TIM	66692	197	31139	5G	-93	-16	0.0	-	-	IRAT_CELL_RESELECTION_4G5G	724-03-31139-71598-222-1276-144:724-03-31139-66692-197-634080-144	I
2023.11.24_23.04.37	-46.477689	-23.61191	TIM	66692	197	31139	4G	-89	-15	-2.0	-	-51	IRAT_HANDOVER_DATA_5G4G	724-03-31139-66692-197-634080-144:724-03-31139-66692-197-75-59	I
2023.11.24_23.04.43	-46.478046	-23.612399	TIM	66692	197	31139	5G	-91	-15	0.0	-	-	IRAT_HANDOVER_DATA_4G5G	724-03-31139-66692-197-75-59:724-03-31139-66692-197-634080-59	D
2023.11.24_23.06.21	-46.486611	-23.610865	TIM	66692	191	31139	5G	-95	-16	0.0	-	-	CELL_RESELECTION_5G5G	724-03-31139-66692-197-634080-59:724-03-31139-66692-191-75-382	D
2023.11.24_23.06.25	-46.486869	-23.611156	TIM	71530	216	31139	5G	-95	-16	0.0	-	-	HANDOVER_DATA_5G5G	724-03-31139-66692-191-75-382:724-03-31139-71530-216-1276-462	I
2023.11.24_23.06.27	-46.487085	-23.611373	TIM	71530	216	31139	5G	-98	-16	-2.0	-	-	HANDOVER_DATA_5G5G	724-03-31139-71530-216-1276-462:724-03-31139-71530-216-634080-462	I
2023.11.24_23.07.46	-46.491279	-23.612862	TIM	71333	61	31139	5G	-101	-14	2.0	-	-	HANDOVER_DATA_5G5G	724-03-31139-71530-216-634080-462:724-03-31139-71333-61-1700-240	D
2023.11.24_23.07.50	-46.491913	-23.612975	TIM	71333	61	31139	5G	-95	-17	6.0	-	-	HANDOVER_DATA_5G5G	724-03-31139-71333-61-1700-240:724-03-31139-71333-61-634080-240	D
2023.11.24_23.08.10	-46.494796	-23.612906	TIM	70276	2	31139	4G	-61	-7	20.0	-	-51	IRAT_HANDOVER_DATA_5G4G	724-03-31139-71333-61-634080-240:724-03-31139-70276-2-3150-462	I
