Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.10.15_15.34.53	-46.47948	-23.61263	TIM	5G	-91	38	833	
2023.10.15_15.34.54	-46.47959	-23.61264	TIM	5G	-92	37	832	
2023.10.15_15.34.55	-46.47969	-23.61265	TIM	5G	-92	37	831	
2023.10.15_15.34.56	-46.47979	-23.61265	TIM	5G	-92	36	832	
2023.10.15_15.34.58	-46.47999	-23.61266	TIM	5G	-92	36	832	
2023.10.15_15.34.59	-46.48009	-23.61265	TIM	5G	-92	37	832	
2023.10.15_15.35.00	-46.48019	-23.61265	TIM	5G	-90	36	831	
2023.10.15_15.35.02	-46.48040	-23.61261	TIM	5G	-90	39	830	
2023.10.15_15.35.04	-46.48060	-23.61258	TIM	5G	-88	37	831	
2023.10.15_15.35.05	-46.48070	-23.61257	TIM	5G	-88	37	831	
2023.10.15_15.35.05	-46.48070	-23.61257	TIM	4G	-98	37	831	
2023.10.15_15.35.06	-46.48080	-23.61256	TIM	4G	-98	35	830	
2023.10.15_15.35.08	-46.48099	-23.61254	TIM	4G	-93	35	832	
2023.10.15_15.35.09	-46.48109	-23.61253	TIM	4G	-93	37	830	
2023.10.15_15.35.11	-46.48130	-23.61251	TIM	4G	-96	38	830	
2023.10.15_15.35.12	-46.48141	-23.61251	TIM	4G	-97	38	829	
2023.10.15_15.35.13	-46.48152	-23.61250	TIM	4G	-97	39	827	
2023.10.15_15.35.14	-46.48163	-23.61249	TIM	4G	-88	38	828	
2023.10.15_15.35.15	-46.48175	-23.61247	TIM	5G	-85	42	826	
2023.10.15_15.35.15	-46.48175	-23.61247	TIM	5G	-85	42	826	
2023.10.15_15.35.17	-46.48192	-23.61247	TIM	5G	-83	35	826	
2023.10.15_15.35.19	-46.48212	-23.61247	TIM	5G	-83	38	827	
2023.10.15_15.35.21	-46.48230	-23.61245	TIM	5G	-82	38	826	
2023.10.15_15.35.22	-46.48241	-23.61245	TIM	5G	-82	38	826	
2023.10.15_15.35.24	-46.48260	-23.61242	TIM	5G	-83	36	827	
2023.10.15_15.35.26	-46.48279	-23.61234	TIM	5G	-86	35	826	
2023.10.15_15.35.27	-46.48288	-23.61229	TIM	5G	-86	37	825	
2023.10.15_15.35.28	-46.48297	-23.61223	TIM	5G	-86	38	825	
2023.10.15_15.35.29	-46.48305	-23.61217	TIM	5G	-86	39	826	
2023.10.15_15.35.29	-46.48305	-23.61217	TIM	5G	-86	39	826	
2023.10.15_15.35.31	-46.48321	-23.61204	TIM	5G	-86	39	827	
2023.10.15_15.35.32	-46.48321	-23.61204	TIM	5G	-76	39	827	
2023.10.15_15.35.33	-46.48328	-23.61188	TIM	5G	-76	36	827	
2023.10.15_15.35.34	-46.48332	-23.61180	TIM	5G	-76	36	828	
2023.10.15_15.35.36	-46.48339	-23.61163	TIM	5G	-74	36	830	
2023.10.15_15.35.37	-46.48342	-23.61153	TIM	5G	-74	37	832	
2023.10.15_15.35.39	-46.48349	-23.61137	TIM	5G	-71	36	832	
2023.10.15_15.35.40	-46.48352	-23.61127	TIM	5G	-71	37	832	
2023.10.15_15.35.41	-46.48355	-23.61117	TIM	5G	-71	37	831	
2023.10.15_15.35.42	-46.48359	-23.61107	TIM	5G	-75	37	832	
2023.10.15_15.35.43	-46.48365	-23.61099	TIM	5G	-75	39	831	
2023.10.15_15.35.44	-46.48372	-23.61090	TIM	5G	-77	37	832	
2023.10.15_15.35.46	-46.48385	-23.61075	TIM	5G	-77	37	829	
