Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.11.24_22.54.54	-46.47152	-23.60633	VIVO	4G	-86	61	843	
2023.11.24_22.54.55	-46.47142	-23.60621	VIVO	4G	-86	63	843	
2023.11.24_22.54.57	-46.47133	-23.60608	VIVO	4G	-89	59	842	
2023.11.24_22.54.58	-46.47124	-23.60595	VIVO	4G	-89	61	842	
2023.11.24_22.54.58	-46.47116	-23.60582	VIVO	4G	-91	64	841	
2023.11.24_22.55.00	-46.47109	-23.60568	VIVO	4G	-91	62	840	
2023.11.24_22.55.00	-46.47104	-23.60552	VIVO	4G	-96	63	838	
2023.11.24_22.55.01	-46.47104	-23.60552	VIVO	4G	-89	63	838	
2023.11.24_22.55.02	-46.47099	-23.60536	VIVO	4G	-89	62	837	
2023.11.24_22.55.02	-46.47096	-23.60521	VIVO	4G	-89	63	837	
2023.11.24_22.55.04	-46.47093	-23.60503	VIVO	4G	-81	64	837	
2023.11.24_22.55.04	-46.47091	-23.60487	VIVO	4G	-81	63	837	
2023.11.24_22.55.06	-46.47089	-23.60471	VIVO	4G	-81	63	836	
2023.11.24_22.55.07	-46.47087	-23.60456	VIVO	4G	-80	64	835	
2023.11.24_22.55.07	-46.47088	-23.60441	VIVO	4G	-80	60	835	
2023.11.24_22.55.09	-46.47087	-23.60426	VIVO	4G	-82	60	834	
2023.11.24_22.55.10	-46.47085	-23.60410	VIVO	4G	-82	59	833	
2023.11.24_22.55.11	-46.47083	-23.60395	VIVO	4G	-79	62	833	
2023.11.24_22.55.12	-46.47081	-23.60379	VIVO	4G	-79	63	832	
